session_id,start_time,end_time,duration_sec,total_input_tokens,total_output_tokens,total_cost_usd,escalated,final_state
cedbfc1d-0f76-40c9-a6fb-977578d1be08,2026-04-13T19:49:48.750031+00:00,2026-04-13T19:52:27.167577+00:00,158.4,20160,1321,0.120615,true,escalated:UNANSWERABLE_QUERY
5c9d66c5-f48a-4aca-ab21-98533d24365c,2026-04-13T20:00:38.137012+00:00,2026-04-13T20:03:08.835398+00:00,150.7,20197,1325,0.120860,true,escalated:UNANSWERABLE_QUERY
0a5a834a-3791-4a47-9f02-65bdbe6111ed,2026-04-13T20:07:58.208797+00:00,2026-04-13T20:10:52.019078+00:00,173.8,22121,1378,0.131275,true,escalated:UNANSWERABLE_QUERY
276a440e-643c-4b3a-8198-7ea8efc66786,2026-04-14T08:02:06.440734+00:00,2026-04-14T08:03:08.327303+00:00,61.9,5718,537,0.000329,true,escalated:LOOP_DETECTED
bd5bc0ba-7d3b-4987-a16f-87ca2e99c9e1,2026-04-14T07:51:45.631944+00:00,2026-04-14T08:05:11.194424+00:00,805.6,26198,2119,0.016216,false,resolved
7b15b23a-f401-4c41-90f9-8b30f5761aa2,2026-04-14T08:05:38.993595+00:00,2026-04-14T08:06:26.417622+00:00,47.4,11768,1013,0.074035,true,escalated:LOOP_DETECTED
7b15b23a-f401-4c41-90f9-8b30f5761aa2,2026-04-14T08:05:38.993595+00:00,2026-04-14T08:06:27.234944+00:00,48.2,13828,1196,0.087080,true,escalated:LOOP_DETECTED
7b15b23a-f401-4c41-90f9-8b30f5761aa2,2026-04-14T08:05:38.993595+00:00,2026-04-14T08:06:27.969748+00:00,49.0,15896,1379,0.100165,true,escalated:LOOP_DETECTED
df01057d-4bb4-46f3-ac2d-1d0587c79f05,2026-04-14T08:19:12.213080+00:00,2026-04-14T08:20:59.318492+00:00,107.1,16301,1029,0.096940,true,escalated:UNANSWERABLE_QUERY
0e748d23-8fa8-4bc1-851e-d51c8e26b4b7,2026-04-14T08:26:13.736365+00:00,2026-04-14T08:32:48.350193+00:00,394.6,20815,1373,0.124670,true,escalated:UNANSWERABLE_QUERY
4bbdd365-4052-4af8-9954-e4ed1fa05d6f,2026-04-14T12:19:59.150922+00:00,2026-04-14T12:22:32.796231+00:00,153.6,20678,1243,0.122035,true,escalated:VERIFICATION_FAILED_POLICYHOLDER
6346690f-b75b-49df-a54d-40ac58724026,2026-04-14T12:23:43.343560+00:00,2026-04-14T12:27:29.620073+00:00,226.3,18743,1166,0.111205,true,escalated:VERIFICATION_FAILED_POLICYHOLDER
a95b09ee-9ec5-4c24-b19b-f7e59267b8b0,2026-04-14T12:28:55.737699+00:00,2026-04-14T12:30:30.326423+00:00,94.6,11919,817,0.071850,true,escalated:LOOP_DETECTED
9bb5f96b-179d-467e-99f3-60abf46ab3fd,2026-04-14T12:53:14.432803+00:00,2026-04-14T12:58:00.041683+00:00,285.6,18568,1313,0.100717,true,escalated:UNANSWERABLE_QUERY
8a81870f-1401-47de-bbd0-cd97d5230461,2026-04-14T13:32:42.802202+00:00,2026-04-14T13:33:15.497867+00:00,32.7,3769,350,0.012248,true,escalated:SOR_API_ERROR
921a0230-6b9a-4c44-8332-81e90e29b642,2026-04-14T16:21:32.404683+00:00,2026-04-14T16:21:32.405282+00:00,0.0,0,0,0.000000,true,escalated:LLM_DIRECTED
c8457143-bd14-4306-bbbc-0d21d460149f,2026-05-09T00:17:30.702836+00:00,2026-05-09T00:18:15.801542+00:00,45.1,5765,546,0.003833,true,escalated:LOOP_DETECTED
72787b0e-35e2-48b8-b992-66dda9266caa,2026-05-09T00:20:53.218810+00:00,2026-05-09T00:21:44.396514+00:00,51.2,5765,546,0.003833,true,escalated:LOOP_DETECTED
631d6974-b08f-48ae-9c9a-b8b6fee45671,2026-05-09T00:48:27.025067+00:00,2026-05-09T00:53:40.743827+00:00,313.7,17046,1319,0.011099,true,escalated:VERIFICATION_FAILED_POLICYHOLDER
17b98035-1020-4d24-899c-9eeeeec6a3e8,2026-05-09T10:03:42.907456+00:00,2026-05-09T11:01:58.247856+00:00,3495.3,46140,3383,0.020585,true,escalated:LLM_DIRECTED
2e9cdab5-3f1d-41c4-859c-9475cca0f2f9,2026-05-09T11:16:41.486041+00:00,2026-05-09T11:18:57.996899+00:00,136.5,14858,1127,0.002000,true,escalated:LOOP_DETECTED
6b3631da-4753-49db-9d70-7f228609b042,2026-05-09T11:21:07.524156+00:00,2026-05-09T11:23:34.073025+00:00,146.5,17242,1357,0.000971,true,escalated:VERIFICATION_FAILED_POLICYHOLDER
964f16cf-66f4-49aa-bb0c-0d2c323c174b,2026-05-09T13:24:39.309568+00:00,2026-05-09T13:32:39.346176+00:00,480.0,0,0,0.000000,true,escalated:UNANSWERABLE_RAG_QUERY
c3d5e87d-565f-4c5b-aa7b-ec7333c9806b,2026-05-09T15:37:43.251155+00:00,2026-05-09T15:41:26.355711+00:00,223.1,0,0,0.000000,true,escalated:UNANSWERABLE_RAG_QUERY
1793d1fc-31f5-4ce5-98ca-1b8db91eb180,2026-05-09T16:07:08.892096+00:00,2026-05-09T16:16:03.934363+00:00,535.0,0,0,0.000000,true,escalated:COMBINED_PATH_FAILURE_RAG_UNAVAILABLE
